temperature,replicate,clutch_number,baby_count,baby1_size_um,baby2_size_um,baby3_size_um,baby4_size_um,avg_baby_size_um,clutch4_count,clutch5_count
10,1,2,10,612.687,633.999,624.721,601.87,618.31925,,
10,1,3,18,619.956,623.125,625.867,580.194,612.2855,,
10,1,4,10,636.277,603.818,627.64,606.96,618.67375,,
10,2,1,3,644.28,644.646,641.039,,643.3216667,,
10,2,2,6,680.554,664.088,668.89,683.49,674.2555,,
10,2,3,7,664.914,669.909,665.962,653.867,663.663,,
10,3,2,7,610.814,619.763,625.153,600.192,613.9805,,
10,3,3,8,632.791,654.64,647.209,638.229,643.21725,,
10,3,4,5,648.47,649.186,656.753,661.421,653.9575,,
10,4,,,,,,,,,
10,4,,,,,,,,,
10,4,,,,,,,,,
10,5,1,5,642.14,665.638,661.339,680.771,662.472,,
10,5,,,,,,,,,
10,5,,,,,,,,,
10,6,,,,,,,,,
10,6,,,,,,,,,
10,6,,,,,,,,,
10,7,1,2,604.096,837.556,,,720.826,,
10,7,2,7,667.125,711.969,644.426,662.659,671.54475,,
10,7,3,7,645.581,693.493,685.037,690.824,678.73375,,
10,8,,,,,,,,,
10,8,,,,,,,,,
10,8,,,,,,,,,
16,1,7,22,662.577,639.505,651.788,686.105,659.99375,,
16,1,8,26,613.899,632.568,614.764,642.584,625.95375,,
16,1,9,,,,,,,,
16,2,7,5,761.277,782.812,751.851,789.541,771.37025,,
16,2,8,8,594.996,604.244,642.984,628.795,617.75475,,
16,2,9,2,668.424,667.52,,,667.972,,
16,3,,,,,,,,,
16,3,,,,,,,,,
16,3,,,,,,,,,
16,4,10,1,607.559,,,,607.559,,
16,4,,,,,,,,,
16,4,,,,,,,,,
16,5,,,,,,,,,
16,5,,,,,,,,,
16,5,,,,,,,,,
16,6,,,,,,,,,
16,6,,,,,,,,,
16,6,,,,,,,,,
16,7,8,10,674.586,663.162,663.661,657.963,664.843,,
16,7,9,7,590.512,644.172,650.905,613.686,624.81875,,
16,7,10,1,646.886,,,,646.886,,
16,8,8,21,689.735,664.894,633.92,688.464,709.1545,,
16,8,9,7,710.44,686.381,723.191,716.606,867.519,,
16,8,10,2,897.152,837.886,,,867.519,17,12
20,1,14,29,705.393,679.49,696.69,660.284,685.46425,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,2,12,31,682.52,695.059,618.591,705.346,675.379,,
20,2,13,32,607.351,632.24,635.766,607.093,620.6125,8,
20,2,14,8,683.324,683.097,670.734,664.842,675.49925,,
20,2,27,6,722.601,750.122,660.05,743.836,719.15225,,
20,3,12,40,656.325,668.189,639.147,564.143,631.951,,
20,3,13,21,680.285,672.567,692.421,679.5,681.19325,,
20,3,14,8,679.16,628.559,661.247,646.802,653.942,18,
20,4,9,12,663.828,596.81,656.276,668.668,646.3955,15,
20,4,10,7,551.025,623.642,610.064,647.845,608.144,,
20,4,11,8,591.956,685.034,663.418,629.751,642.53975,,
20,5,6,29,677.435,651.865,638,651.718,654.7545,,
20,5,7,24,611.156,627.654,625.651,603.807,617.067,,
20,5,8,3,592.442,653.931,628.819,,625.064,,
20,6,27,25,663.024,661.961,649.706,654.8,657.37275,,
20,6,,,,,,,,,
20,6,,,,,,,,,
20,7,,,,,,,,,
20,7,,,,,,,,,
20,7,,,,,,,,,
20,8,,,,,,,,,
20,8,,,,,,,,,
20,8,,,,,,,,,
24,1,2,5,794.362,824.51,789.74,831.407,810.00475,,
24,1,3,10,561.076,682.769,656.631,683.101,645.89425,,
24,1,4,17,615.402,683.375,650.47,653.907,650.7885,,
24,2,,,,,,,,,
24,2,,,,,,,,,
24,2,,,,,,,,,
24,3,3,8,708.053,700.172,730.342,710.4,712.24175,,
24,3,4,21,684.044,653.391,648.134,670.231,638.60425,,
24,3,5,24,637.676,651.691,634.494,630.556,638.60425,,
24,4,20,10,604.543,594.699,688.195,706.828,648.56625,,
24,4,,,,,,,,,
24,4,,,,,,,,,
24,5,2,7,,,,,,,
24,5,3,10,634.315,685.797,655.478,693.116,667.1765,,
24,5,4,13,646.465,613.388,636.961,643.55,635.091,,
24,5,5,17,643.157,639.443,637.331,611.641,632.893,,
24,6,1,8,653.907,656.753,626.337,582.259,629.814,,
24,6,2,19,607.201,580.137,610.297,602.55,600.04625,,
24,6,3,8,627.588,636.77,615.218,613.26,623.209,,
24,6,,,,,,,,,
24,7,,,,,,,,,
24,7,,,,,,,,,
24,7,,,,,,,,,
24,8,,,,,,,,,
24,8,,,,,,,,,
24,8,,,,,,,,,
27,1,,,,,,,,,
27,1,,,,,,,,,
27,1,,,,,,,,,
27,2,,,,,,,,,
27,2,,,,,,,,,
27,2,,,,,,,,,
27,3,13,15,668.551,670.247,679.16,684.961,675.72975,,
27,3,14,11,640.699,639.16,635.825,637.467,638.28775,,
27,3,15,15,637.067,635.759,622.022,652.653,636.87525,,
27,4,9,16,693.757,693.267,675.067,674.702,684.19825,,
27,4,10,14,647.179,664.842,632.939,652.617,649.39425,,
27,4,11,3,753.206,812.754,,,782.98,,
27,5,15,17,679.75,693.515,654.187,608.036,658.872,,
27,5,16,6,663.247,671.027,673.603,671.776,664.392625,,
27,5,17,13,635.156,635.478,676.672,660.284,660.905375,,
27,6,,,,,,,,,
27,6,,,,,,,,,
27,6,,,,,,,,,
27,7,13,9,816.287,859.353,845.268,865.59,846.6245,,
27,7,14,10,808.318,755.808,779.244,808.854,788.056,,
27,7,15,5,815.569,787.995,846.643,748.61,799.70425,,
27,8,,,,,,,,,
27,8,,,,,,,,,
27,8,,,,,,,,,